Dataset,Accuracy,Precision,Recall,F1-Score,ROC AUC
Training,0.9760551948051948,0.970328974395788,0.9760551948051948,0.9728507769839453,0.8306245029275713
Validation,0.8912337662337663,0.8915513926255615,0.8912337662337663,0.8893784387166507,0.7999397256342328
Test,0.5327102803738317,0.5626616598242935,0.5327102803738317,0.5187576147918188,0.5327102803738317
