time,open,high,low,close,Volume,Histogram,MACD,Signal,K,D,Turnover (Cr),10 MA Turnover,Turnover / 10MA (X)
1277818200,1.266665,1.666665,1.169331,1.592665,281749481,NaN,NaN,NaN,NaN,NaN,44.8732537156865,NaN,NaN
1277904600,1.719331,2.027945,1.553332,1.588665,257916256.99999994,NaN,NaN,NaN,NaN,NaN,40.97425304269049,NaN,NaN
1277991000,1.666665,1.727998,1.351332,1.463999,123448068,NaN,NaN,NaN,NaN,NaN,18.0727848103932,NaN,NaN
1278077400,1.533332,1.539999,1.247333,1.279999,77127212,NaN,NaN,NaN,NaN,NaN,9.8722754232788,NaN,NaN
1278423000,1.333332,1.333332,1.055332,1.073999,103189557.99999999,NaN,NaN,NaN,NaN,NaN,11.082548210244198,NaN,NaN
1278509400,1.093332,1.108666,0.998666,1.053332,103873812.99999999,NaN,NaN,NaN,NaN,NaN,10.941361119491598,NaN,NaN
1278595800,1.075999,1.167999,1.037999,1.164,115793200,NaN,NaN,NaN,NaN,NaN,13.478328479999998,NaN,NaN
1278682200,1.171999,1.193331,1.103332,1.159998,60879150,NaN,NaN,NaN,NaN,NaN,7.061969224170001,NaN,NaN
1278941400,1.196665,1.204666,1.133332,1.136666,33053583,NaN,NaN,NaN,NaN,NaN,3.7570883974277995,NaN,NaN
1279027800,1.159586,1.242665,1.126665,1.209332,40200940,NaN,NaN,NaN,NaN,NaN,4.861628317208,16.49754907405906,0.29468791366424735
1279114200,1.195999,1.343331,1.184005,1.322665,62941697,NaN,NaN,NaN,NaN,NaN,8.3250779662505,12.842731499115459,0.6482326572679565
1279200600,1.329332,1.433332,1.266665,1.325999,56179511,NaN,NaN,NaN,NaN,NaN,7.4493975406489,9.4902459489113,0.7849530539831245
1279287000,1.379999,1.419999,1.336665,1.375999,39318189,NaN,NaN,NaN,NaN,NaN,5.4101788745811,8.22398535533009,0.6578536610689222
1279546200,1.424665,1.483332,1.394665,1.460665,37297372.00000001,NaN,NaN,NaN,NaN,NaN,5.447896587238001,7.78154747172601,0.7001045238151858
1279632600,1.456666,1.456666,1.336665,1.353332,27378492,NaN,NaN,NaN,NaN,NaN,3.7052189335344003,7.04381454405503,0.526024487209363
1279719000,1.377332,1.393331,1.299999,1.347999,18801648,NaN,NaN,NaN,NaN,NaN,2.5344602702351997,6.2031244591293895,0.4085780136984245
1279805400,1.366665,1.416665,1.357999,1.399999,14435189,NaN,NaN,NaN,NaN,NaN,2.0209250164811,5.0573841127775,0.3995988778813983
1279891800,1.412665,1.437332,1.403999,1.419331,9810744,NaN,NaN,NaN,70.6588705836689,NaN,1.3924693092263998,4.490434121283139,0.31009681282853396
1280151000,1.433332,1.433332,1.353332,1.396665,13836808,NaN,NaN,NaN,62.69442461163828,NaN,1.9325385445319998,4.30797913599356,0.44859514949491364
1280237400,1.393999,1.411998,1.350665,1.369999,9295134,NaN,NaN,NaN,55.16284796038137,62.838714385229515,1.2734324284865999,3.9491595471214196,0.3224565665914453
1280323800,1.369999,1.393331,1.367331,1.381332,7007752,NaN,NaN,NaN,50.85367374674584,56.23698210625516,0.9680032085664,3.2134520713530095,0.3012346806712529
1280410200,1.384665,1.391999,1.333332,1.356666,9238659,NaN,NaN,NaN,37.679638522439056,47.89872007652209,1.2533774550894,2.5938500627970593,0.48321122067396194
1280496600,1.346665,1.362665,1.303332,1.329332,6402456,NaN,NaN,NaN,22.38317409242075,36.97216212053521,0.8510989639391999,2.1379420717328697,0.3980926214943501
1280755800,1.366665,1.397999,1.355531,1.394665,10787185,NaN,NaN,NaN,22.75723826727299,27.606683627377596,1.5044509368025,1.7435975066893188,0.8628430191203349
